kalem_adi,aciklama
Park yapımı,Mahalle parklarının inşaatı ve yeşillendirme işleri.
Çöp toplama hizmeti,Günlük çöp toplama araçları ve personel giderleri.
Yol asfaltlama,İlçedeki bozuk yolların asfaltlanması ve bakımı.
Sosyal yardım desteği,İhtiyaç sahibi ailelere gıda ve nakdi yardım verilmesi.
Kültürel etkinlik organizasyonu,Konser, tiyatro ve kültürel etkinliklerin düzenlenmesi.
Sokak hayvanları bakımı,Barınak, mama ve tedavi hizmetlerinin finanse edilmesi.
Engelli bireylere ulaşım desteği,Engelli vatandaşlar için özel araçla ulaşım desteği.
Afet ve acil durum malzeme alımı,Deprem ve sel gibi afetler için gerekli ekipman alımı.
Kadın sığınma evi işletme giderleri,Kadına yönelik şiddet mağdurlarına barınma hizmeti.
Kentsel dönüşüm proje danışmanlığı,Yıkım ve yeniden yapılandırma projelerine danışmanlık.
Mahalle iftarları organizasyonu,Ramazan ayında toplu iftar yemeklerinin düzenlenmesi.
Halk sağlığı bilgilendirme kampanyası,Sağlık hizmetleri hakkında halka açık seminerler verilmesi.
Bisiklet yolu yapımı,Şehir içi çevre dostu bisiklet yollarının yapılması.
Okul çevresi iyileştirme çalışmaları,Okul önlerinde güvenlik ve çevre düzenlemesi yapılması.
Çocuk oyun alanı kurulumu,Mahalle parklarına çocuklar için yeni oyun alanları kurulması.
